Problem,Variant,AblationID,Run,IGD,HV,Runtime,FE
DF1,Full,0,1,0.200645028345884,0.47715745548409,0.6520005,10000
DF1,Full,0,2,0.199205118831941,0.481791501596775,0.6061738,10000
DF1,Full,0,3,0.196298201645471,0.482971325618482,0.6706747,10000
DF1,Full,0,4,0.19346141455914,0.483096491172073,0.5850104,10000
DF1,Full,0,5,0.188560543080582,0.491633897330338,0.7250146,10000
DF1,Full,0,6,0.205056202370361,0.471862007666531,0.663008,10000
DF1,Full,0,7,0.191206678994473,0.489751831723097,0.6245295,10000
DF1,Full,0,8,0.197227539236958,0.478899323149694,0.6872237,10000
DF1,Full,0,9,0.187622455465573,0.493095205756709,0.674535,10000
DF1,Full,0,10,0.200969772783902,0.478845490652206,0.6450556,10000
DF1,Full,0,11,0.187163644351917,0.491590953320987,0.6810577,10000
DF1,Full,0,12,0.202378970963795,0.473749601837339,0.5608959,10000
DF1,Full,0,13,0.201227396582784,0.477494117243297,0.5912383,10000
DF1,Full,0,14,0.200558953851605,0.477145289187516,0.5859628,10000
DF1,Full,0,15,0.204390075163621,0.474921086183712,0.6049957,10000
DF1,Full,0,16,0.185080904978021,0.494933063844956,0.6557759,10000
DF1,Full,0,17,0.193408280814796,0.487401888704459,0.6704556,10000
DF1,Full,0,18,0.193348593836377,0.487892748791037,0.5827244,10000
DF1,Full,0,19,0.192553359705836,0.485721175546902,0.6900275,10000
DF1,Full,0,20,0.194323517075016,0.48475106583172,0.629502,10000
DF1,Full,0,21,0.19016696859864,0.489824506743099,0.6269084,10000
DF1,Full,0,22,0.187541822626266,0.494126307131267,0.5787756,10000
DF1,Full,0,23,0.199923175912825,0.478525002371923,0.6270891,10000
DF1,Full,0,24,0.187132982367417,0.494425139592393,0.6213366,10000
DF1,Full,0,25,0.193613660617595,0.48715381470915,0.5871273,10000
DF1,Full,0,26,0.194464440521258,0.48464637692379,0.6377261,10000
DF1,Full,0,27,0.193881419226113,0.486162895611068,0.5988831,10000
DF1,Full,0,28,0.18929486947117,0.491445717558482,0.5464693,10000
DF1,Full,0,29,0.199747904243995,0.476849881436764,0.6250859,10000
DF1,Full,0,30,0.201124782290332,0.473940311722804,0.6243784,10000
DF1,No_C3_Convergence,1,1,0.189573865695819,0.490121519800005,0.658158,10000
DF1,No_C3_Convergence,1,2,0.190258496332884,0.489490923519089,0.7003844,10000
DF1,No_C3_Convergence,1,3,0.204310790534398,0.475072363849465,0.630843,10000
DF1,No_C3_Convergence,1,4,0.202582020164965,0.475355842487363,0.6364418,10000
DF1,No_C3_Convergence,1,5,0.189608426794529,0.487008124450673,0.6582144,10000
DF1,No_C3_Convergence,1,6,0.192882072552347,0.486456542651786,0.6053727,10000
DF1,No_C3_Convergence,1,7,0.193034973097791,0.484074228064605,0.6368862,10000
DF1,No_C3_Convergence,1,8,0.198344594582065,0.480748591915502,0.6085486,10000
DF1,No_C3_Convergence,1,9,0.210564601645539,0.467133664215066,0.6437122,10000
DF1,No_C3_Convergence,1,10,0.19939157679277,0.478311073444159,0.6687383,10000
DF1,No_C3_Convergence,1,11,0.197868819035071,0.478152026137842,0.6732385,10000
DF1,No_C3_Convergence,1,12,0.199244672881094,0.473299992331878,0.6487347,10000
DF1,No_C3_Convergence,1,13,0.198130932809978,0.48293852677678,0.7566108,10000
DF1,No_C3_Convergence,1,14,0.214295469262383,0.460325638393111,0.6459136,10000
DF1,No_C3_Convergence,1,15,0.192757019254856,0.485318519288223,0.5868895,10000
DF1,No_C3_Convergence,1,16,0.18934621722553,0.490264278976347,0.5953337,10000
DF1,No_C3_Convergence,1,17,0.190212006429394,0.490206389432217,0.6902882,10000
DF1,No_C3_Convergence,1,18,0.189332324000811,0.488735564532019,0.6278207,10000
DF1,No_C3_Convergence,1,19,0.193286329398619,0.487431096802548,0.7399552,10000
DF1,No_C3_Convergence,1,20,0.201178041492844,0.474382564992549,0.5970271,10000
DF1,No_C3_Convergence,1,21,0.198623853158871,0.474651445782185,0.6335158,10000
DF1,No_C3_Convergence,1,22,0.193877413842417,0.487948850903343,0.5801583,10000
DF1,No_C3_Convergence,1,23,0.193839486544807,0.485720027488551,0.5868931,10000
DF1,No_C3_Convergence,1,24,0.204010479107635,0.473000940861615,0.6784177,10000
DF1,No_C3_Convergence,1,25,0.204233503024692,0.473949496045672,0.6661921,10000
DF1,No_C3_Convergence,1,26,0.209823201131583,0.464452740459129,0.5839844,10000
DF1,No_C3_Convergence,1,27,0.201542395067697,0.473480084912925,0.5851499,10000
DF1,No_C3_Convergence,1,28,0.193526687782227,0.484124466329703,0.6905451,10000
DF1,No_C3_Convergence,1,29,0.198682923863156,0.47638128504849,0.6116263,10000
DF1,No_C3_Convergence,1,30,0.212430551750453,0.46438183005587,0.5899515,10000
DF1,No_Memristor_Adaptive,2,1,0.202241095257888,0.47534370377935,0.6036614,10000
DF1,No_Memristor_Adaptive,2,2,0.203715161793271,0.473278135921672,0.5922302,10000
DF1,No_Memristor_Adaptive,2,3,0.194702117472823,0.48052744744553,0.7189587,10000
DF1,No_Memristor_Adaptive,2,4,0.189993170573147,0.4897889585007,0.7531392,10000
DF1,No_Memristor_Adaptive,2,5,0.191928196982532,0.486073045046094,0.6489059,10000
DF1,No_Memristor_Adaptive,2,6,0.189922643458773,0.489808876976802,0.7625259,10000
DF1,No_Memristor_Adaptive,2,7,0.187638780887268,0.49187454903078,0.6699714,10000
DF1,No_Memristor_Adaptive,2,8,0.190517430170109,0.490248171791687,0.7406771,10000
DF1,No_Memristor_Adaptive,2,9,0.212140232275393,0.460187469230481,0.6848979,10000
DF1,No_Memristor_Adaptive,2,10,0.189665550884327,0.490683862455175,0.6512653,10000
DF1,No_Memristor_Adaptive,2,11,0.202476327535723,0.477270932393581,0.6657973,10000
DF1,No_Memristor_Adaptive,2,12,0.200163595746101,0.478141950062341,0.628463,10000
DF1,No_Memristor_Adaptive,2,13,0.196407647515521,0.480481504376192,0.8942012,10000
DF1,No_Memristor_Adaptive,2,14,0.197432293187612,0.48149289777233,1.5822291,10000
DF1,No_Memristor_Adaptive,2,15,0.203658413100648,0.472044481129524,1.5691281,10000
DF1,No_Memristor_Adaptive,2,16,0.184505867530306,0.495463771717973,1.5551336,10000
DF1,No_Memristor_Adaptive,2,17,0.203264935901455,0.476193127972694,1.596832,10000
DF1,No_Memristor_Adaptive,2,18,0.189442947783125,0.491660233742138,1.4782882,10000
DF1,No_Memristor_Adaptive,2,19,0.197001901009867,0.480872506622531,1.5405047,10000
DF1,No_Memristor_Adaptive,2,20,0.207227502386016,0.471565990619769,1.5811339,10000
DF1,No_Memristor_Adaptive,2,21,0.188183810413236,0.49074688036039,1.7027094,10000
DF1,No_Memristor_Adaptive,2,22,0.196905018002869,0.483276181972133,1.4710198,10000
DF1,No_Memristor_Adaptive,2,23,0.202281510362764,0.476084363689323,1.4642436,10000
DF1,No_Memristor_Adaptive,2,24,0.190693872376068,0.490392455979398,1.4176826,10000
DF1,No_Memristor_Adaptive,2,25,0.200878890051808,0.476827392003956,1.5279386,10000
DF1,No_Memristor_Adaptive,2,26,0.202027256849844,0.473684402912303,1.3787343,10000
DF1,No_Memristor_Adaptive,2,27,0.185412148237731,0.497570237361512,1.4416817,10000
DF1,No_Memristor_Adaptive,2,28,0.194881285334765,0.483480237204473,1.4301515,10000
DF1,No_Memristor_Adaptive,2,29,0.199463767013722,0.475007849121159,1.4591901,10000
DF1,No_Memristor_Adaptive,2,30,0.206675314082482,0.468445419058916,1.4299779,10000
DF1,No_Random_Immigrants,3,1,0.208529127538003,0.468716791230842,1.3706133,10020
DF1,No_Random_Immigrants,3,2,0.196614078164549,0.482068931481504,1.4174966,10020
