SProblem,SVariant,SAblationID,MeanIGD,StdIGD,MeanHV,StdHV,MeanRuntime,DeltaIGDPercent,DeltaHVPercent,P_IGD_vsFull,P_HV_vsFull,,,,,,,,
DF7,No_Random_Immigrants,3,0.566736128,0.008540408,0.433775651,0.005209581,0.592855273,-0.49423297,-0.24856401,0.349345562,0.628843002,,,,,,,,
DF7,No_Diversity_Stagnation_Guards,5,0.566895629,0.010948352,0.434219397,0.006457541,0.630085333,-0.466228238,-0.146519637,0.393334372,0.749871156,,,,,,,,
DF7,No_Predictive_Change_Response,6,0.544180584,0.01305509,0.41258354,0.009191701,0.5266371,-4.454465156,-5.121920723,4.73E-06,2.35E-06,,,,,,,,
DF8,Full,0,1.274757356,0.157817387,0.999721028,0.000105128,0.596701937,0,0,NaN,NaN,,,,,,,,
DF8,No_C3_Convergence,1,1.390937889,0.023510243,0.999675613,0.000135647,0.63810834,9.113933175,-0.004542781,0.028485956,0.221021575,,,,,,,,
DF8,No_Memristor_Adaptive,2,1.220001933,0.170575477,0.999679248,0.000126694,0.612698577,-4.295360399,-0.004179163,0.177907383,0.106394173,,,,,,,,
DF8,No_Random_Immigrants,3,1.272719601,0.154042557,0.999730046,9.44E-05,0.634562317,-0.159854315,0.000902047,0.687373616,0.688359298,,,,,,,,
DF8,No_Diversity_Stagnation_Guards,5,1.245275485,0.161499755,0.999681445,0.000119532,0.614831467,-2.312743744,-0.003959432,0.308614851,0.141389511,,,,,,,,
DF8,No_Predictive_Change_Response,6,1.192755655,0.15010092,0.998999395,0.000827575,0.576797553,-6.432730122,-0.072183493,0.00061791,2.13E-06,,,,,,,,
DF9,Full,0,0.676619177,0.060559528,0.513646523,0.059850498,0.635318743,0,0,NaN,NaN,,,,,,,,
DF9,No_C3_Convergence,1,0.665103192,0.012145169,0.493236425,0.0154985,0.6372507,-1.701989122,-3.973568715,0.544006208,0.047161747,,,,,,,,
DF9,No_Memristor_Adaptive,2,0.677898264,0.067047653,0.513922844,0.056041764,0.62597409,0.189040845,0.053795882,0.958990172,0.7035637,,,,,,,,
DF9,No_Random_Immigrants,3,0.674998533,0.060596109,0.512623898,0.060835789,0.635619257,-0.239520898,-0.199091166,0.38686642,0.428430029,,,,,,,,
DF9,No_Diversity_Stagnation_Guards,5,0.671862544,0.040102052,0.515349817,0.04969716,0.627768287,-0.703000037,0.331608292,0.7035637,0.452806505,,,,,,,,
DF9,No_Predictive_Change_Response,6,0.671354065,0.061982251,0.505416721,0.062412113,0.526701047,-0.778149926,-1.602230556,0.074437625,0.002255124,,,,,,,,
